time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,41.405,42.94,40.8,42.07,30238.0
2024-11-05T16:00:00-05:00,41.69,43.18,41.69,43.18,43906.0
2024-11-06T16:00:00-05:00,45.73,45.89,43.84,45.43,51494.0
2024-11-07T16:00:00-05:00,45.8,46.755,45.35,45.52,43632.0
2024-11-08T16:00:00-05:00,44.79,46.555,44.79,45.39,32121.0
2024-11-11T16:00:00-05:00,46.73,48.75,46.69,47.31,33788.0
2024-11-12T16:00:00-05:00,45.985,47.41,44.83,45.28,78226.0
2024-11-13T16:00:00-05:00,46.02,46.02,42.13,42.47,83495.0
2024-11-14T16:00:00-05:00,42.715,42.715,38.89,38.95,47795.0
2024-11-15T16:00:00-05:00,38.82,38.83,36.76,36.86,125219.0
2024-11-18T16:00:00-05:00,43.51,43.99,40.27,41.4,107478.0
2024-11-19T16:00:00-05:00,40.885,41.625,40.29,41.39,135592.0
2024-11-20T16:00:00-05:00,41.17,41.34,40.37,41.09,61036.0
2024-11-21T16:00:00-05:00,41.055,42.95,39.85,41.6,51123.0
2024-11-22T16:00:00-05:00,41.325,42.925,41.325,42.215,46275.0
2024-11-25T16:00:00-05:00,43.49,47.38,43.49,46.34,69310.0
2024-11-26T16:00:00-05:00,47.06,47.4,45.9,46.38,28262.0
2024-11-27T16:00:00-05:00,47.545,49.025,47.06,48.32,41237.0
2024-11-29T16:00:00-05:00,48.71,49.89,48.64,49.13,36149.0
2024-12-02T16:00:00-05:00,48.895,50.39,48.665,50.27,42615.0
2024-12-03T16:00:00-05:00,49.65,50.92,48.865,50.6,47682.0
2024-12-04T16:00:00-05:00,50.905,53.39,50.535,52.43,56708.0
2024-12-05T16:00:00-05:00,51.93,52.38,50.5,50.7,52170.0
2024-12-06T16:00:00-05:00,52.04,53.59,51.945,52.72,50177.0
2024-12-09T16:00:00-05:00,53.205,53.67,51.43,51.65,76070.0
2024-12-10T16:00:00-05:00,52.04,53.04,51.395,51.55,68820.0
2024-12-11T16:00:00-05:00,52.46,52.48,48.43,48.81,54360.0
2024-12-12T16:00:00-05:00,48.71,49.695,47.23,47.37,44585.0
2024-12-13T16:00:00-05:00,47.29,47.66,46.6,47.505,51345.0
2024-12-16T16:00:00-05:00,47.015,49.725,46.99,48.43,62185.0
2024-12-17T16:00:00-05:00,48.225,49.48,47.61,48.41,25659.0
2024-12-18T16:00:00-05:00,48.6,48.6,43.71,44.56,108332.0
2024-12-19T16:00:00-05:00,44.895,44.895,43.21,43.61,40003.0
2024-12-20T16:00:00-05:00,44.465,47.97,44.09,47.95,54342.0
2024-12-23T16:00:00-05:00,47.63,47.63,47.14,47.36,13189.0
2024-12-24T16:00:00-05:00,48.395,49.19,47.89,48.88,20034.0
2024-12-26T16:00:00-05:00,48.62,49.35,47.74,49.245,20178.0
2024-12-27T16:00:00-05:00,48.29,48.53,46.57,48.15,33358.0
2024-12-30T16:00:00-05:00,46.915,47.855,45.945,47.19,31829.0
2024-12-31T16:00:00-05:00,47.195,47.195,46.08,46.48,40052.0
2025-01-02T16:00:00-05:00,46.865,47.01,44.71,45.34,32874.0
2025-01-03T16:00:00-05:00,45.86,47.735,45.39,47.27,27531.0
2025-01-06T16:00:00-05:00,48.14,49.21,47.63,48.52,47257.0
2025-01-07T16:00:00-05:00,48.905,51.145,45.32,45.6,75240.0
2025-01-08T16:00:00-05:00,45.3,45.795,43.63,45.08,70439.0
2025-01-10T16:00:00-05:00,43.65,44.685,42.69,43.55,80449.0
2025-01-13T16:00:00-05:00,42.215,43.58,41.125,43.49,37600.0
2025-01-14T16:00:00-05:00,44.47,45.97,42.44,42.73,41224.0
2025-01-15T16:00:00-05:00,46.45,47.22,44.8,45.45,77702.0
2025-01-16T16:00:00-05:00,45.64,46.13,44.38,45.85,38073.0
2025-01-17T16:00:00-05:00,46.685,48.765,46.11,47.555,38603.0
2025-01-21T16:00:00-05:00,48.565,51.3,48.565,50.48,47210.0
2025-01-22T16:00:00-05:00,51.03,53.69,50.9,52.3,49821.0
2025-01-23T16:00:00-05:00,51.9,54.98,49.15,53.37,62034.0
2025-01-24T16:00:00-05:00,52.605,55.225,52.605,54.03,62097.0
2025-01-27T16:00:00-05:00,51.895,54.21,50.76,52.3,33005.0
2025-01-28T16:00:00-05:00,51.34,52.785,51.05,51.85,35182.0
2025-01-29T16:00:00-05:00,51.2,51.465,49.4,49.48,38745.0
2025-01-30T16:00:00-05:00,51.43,52.85,50.88,51.115,36779.0
