time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,84.59,85.63,84.33,85.14,3783.0
2023-11-07T16:00:00-05:00,85.245,85.36,84.18,85.05,3432.0
2023-11-08T16:00:00-05:00,82.54,83.5,78.92,82.825,7877.0
2023-11-09T16:00:00-05:00,82.66,82.66,80.09,80.365,2915.0
2023-11-10T16:00:00-05:00,80.0,83.44,80.0,82.255,5943.0
2023-11-13T16:00:00-05:00,82.305,84.31,81.525,82.53,7264.0
2023-11-14T16:00:00-05:00,84.115,87.36,84.115,87.055,3102.0
2023-11-15T16:00:00-05:00,87.87,88.365,87.1,87.13,4998.0
2023-11-16T16:00:00-05:00,86.905,86.92,85.335,85.335,5169.0
2023-11-17T16:00:00-05:00,86.505,86.98,84.67,84.67,5205.0
2023-11-20T16:00:00-05:00,85.2,85.93,84.74,85.93,3608.0
2023-11-21T16:00:00-05:00,84.875,85.39,84.875,85.05,3009.0
2023-11-22T16:00:00-05:00,86.51,87.81,86.09,87.19,3485.0
2023-11-24T16:00:00-05:00,87.68,87.68,87.68,87.68,958.0
2023-11-27T16:00:00-05:00,87.41,87.95,86.985,87.95,2543.0
2023-11-28T16:00:00-05:00,87.175,87.52,86.09,86.09,4221.0
2023-11-29T16:00:00-05:00,86.715,86.715,85.1,85.1,1352.0
2023-11-30T16:00:00-05:00,84.81,84.81,84.81,84.81,1780.0
2023-12-01T16:00:00-05:00,85.4,87.82,85.4,87.67,3679.0
2023-12-04T16:00:00-05:00,88.28,88.605,86.83,87.68,3295.0
2023-12-05T16:00:00-05:00,87.81,88.39,87.3,87.955,3273.0
2023-12-06T16:00:00-05:00,89.155,89.155,87.9,88.05,2412.0
2023-12-07T16:00:00-05:00,89.35,89.35,88.66,88.775,2954.0
2023-12-08T16:00:00-05:00,89.31,90.18,89.12,90.18,2332.0
2023-12-11T16:00:00-05:00,89.08,90.75,89.08,90.56,5767.0
2023-12-12T16:00:00-05:00,91.145,92.7,91.145,91.305,5919.0
2023-12-13T16:00:00-05:00,91.295,93.57,90.58,93.22,7701.0
2023-12-14T16:00:00-05:00,93.85,94.255,92.29,92.35,8415.0
2023-12-15T16:00:00-05:00,91.97,92.425,88.9,89.09,6725.0
