time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,24.11,24.11,23.49,23.505,3458.0
2024-11-05T16:00:00-05:00,22.855,22.855,21.65,22.16,19027.0
2024-11-06T16:00:00-05:00,24.1,24.1,23.065,23.24,9414.0
2024-11-07T16:00:00-05:00,23.49,23.61,23.2,23.2,3668.0
2024-11-08T16:00:00-05:00,22.89,22.89,22.53,22.55,5737.0
2024-11-11T16:00:00-05:00,22.62,22.645,22.335,22.49,3778.0
2024-11-12T16:00:00-05:00,22.35,22.35,21.78,21.98,6725.0
2024-11-13T16:00:00-05:00,21.855,21.93,21.375,21.49,6218.0
2024-11-14T16:00:00-05:00,21.305,21.56,21.22,21.56,5034.0
2024-11-15T16:00:00-05:00,21.53,21.805,21.35,21.45,4661.0
2024-11-18T16:00:00-05:00,21.16,21.4,21.16,21.38,3740.0
2024-11-19T16:00:00-05:00,21.11,21.11,21.02,21.02,1976.0
2024-11-20T16:00:00-05:00,21.205,21.36,21.1,21.36,2662.0
2024-11-21T16:00:00-05:00,21.605,21.74,21.53,21.6,2291.0
2024-11-22T16:00:00-05:00,21.715,22.195,21.715,22.06,3851.0
2024-11-25T16:00:00-05:00,22.375,23.115,22.35,22.49,6575.0
2024-11-26T16:00:00-05:00,22.475,22.73,22.16,22.42,11194.0
2024-11-27T16:00:00-05:00,23.54,24.01,22.05,22.78,10649.0
2024-11-29T16:00:00-05:00,22.61,22.95,22.595,22.9,2867.0
2024-12-02T16:00:00-05:00,22.75,23.58,22.75,23.565,5499.0
2024-12-03T16:00:00-05:00,23.53,24.32,23.5,24.19,11304.0
2024-12-04T16:00:00-05:00,24.36,24.69,23.8,24.01,8720.0
2024-12-05T16:00:00-05:00,23.82,23.94,23.345,23.35,4675.0
2024-12-06T16:00:00-05:00,23.48,23.51,23.01,23.51,5892.0
2024-12-09T16:00:00-05:00,24.645,24.645,24.21,24.255,3917.0
2024-12-10T16:00:00-05:00,23.52,24.4,23.52,24.14,6335.0
2024-12-11T16:00:00-05:00,24.195,25.11,24.13,24.855,5524.0
2024-12-12T16:00:00-05:00,24.605,25.35,24.56,24.6,6964.0
2024-12-13T16:00:00-05:00,24.505,24.505,23.765,23.765,4024.0
2024-12-16T16:00:00-05:00,24.055,24.24,24.055,24.24,1195.0
2024-12-17T16:00:00-05:00,24.095,24.11,23.76,23.76,6318.0
2024-12-18T16:00:00-05:00,24.3,24.335,22.975,23.28,4667.0
2024-12-19T16:00:00-05:00,23.61,23.61,22.99,23.1,5856.0
2024-12-20T16:00:00-05:00,23.26,23.7,23.11,23.14,5632.0
2024-12-23T16:00:00-05:00,23.14,23.14,23.14,23.14,0.0
2024-12-24T16:00:00-05:00,23.075,23.12,22.955,23.12,1425.0
