time,open,high,low,close,volume
2025-10-13T09:30:00-04:00,34.355,34.38,34.355,34.38,200.0
2025-10-13T09:40:00-04:00,34.18,34.18,33.94,33.94,235.0
2025-10-13T09:45:00-04:00,34.19,34.31,34.19,34.31,437.0
2025-10-13T09:50:00-04:00,34.27,34.27,34.27,34.27,100.0
2025-10-13T09:55:00-04:00,34.24,34.35,34.18,34.22,1267.0
2025-10-13T10:00:00-04:00,34.12,34.24,34.12,34.24,1603.0
2025-10-13T10:05:00-04:00,34.31,34.51,34.3,34.32,1500.0
2025-10-13T10:10:00-04:00,34.33,34.35,34.27,34.27,1225.0
2025-10-13T10:15:00-04:00,34.25,34.25,34.0,34.0,803.0
2025-10-13T10:20:00-04:00,33.915,33.915,33.915,33.915,438.0
2025-10-13T10:25:00-04:00,33.86,33.86,33.78,33.78,807.0
2025-10-13T10:30:00-04:00,33.77,33.89,33.745,33.89,724.0
2025-10-13T10:35:00-04:00,33.94,34.08,33.89,34.08,2192.0
2025-10-13T10:40:00-04:00,34.09,34.09,33.93,34.07,1580.0
2025-10-13T10:45:00-04:00,34.1,34.11,33.97,33.97,1542.0
2025-10-13T10:50:00-04:00,34.01,34.01,33.97,33.97,303.0
2025-10-13T10:55:00-04:00,33.985,33.985,33.985,33.985,123.0
2025-10-13T11:00:00-04:00,33.92,33.97,33.78,33.82,992.0
2025-10-13T11:05:00-04:00,33.99,34.02,33.945,33.955,1638.0
2025-10-13T11:10:00-04:00,34.02,34.02,33.93,33.93,515.0
2025-10-13T11:15:00-04:00,34.01,34.15,34.01,34.15,1265.0
2025-10-13T11:20:00-04:00,34.2,34.2,34.18,34.18,634.0
2025-10-13T11:30:00-04:00,34.21,34.23,34.21,34.23,787.0
2025-10-13T11:35:00-04:00,34.21,34.21,34.165,34.17,1218.0
2025-10-13T11:40:00-04:00,34.165,34.165,34.1,34.11,769.0
2025-10-13T11:45:00-04:00,34.21,34.21,34.16,34.21,642.0
2025-10-13T11:50:00-04:00,34.215,34.33,34.21,34.33,1447.0
2025-10-13T11:55:00-04:00,34.34,34.4,34.34,34.38,678.0
2025-10-13T12:00:00-04:00,34.37,34.37,34.265,34.31,1334.0
2025-10-13T12:05:00-04:00,34.18,34.2,34.18,34.2,274.0
2025-10-13T12:10:00-04:00,34.225,34.25,34.225,34.25,618.0
2025-10-13T12:15:00-04:00,34.24,34.38,34.24,34.38,930.0
2025-10-13T12:20:00-04:00,34.38,34.38,34.285,34.34,521.0
2025-10-13T12:25:00-04:00,34.35,34.4,34.32,34.4,766.0
2025-10-13T12:35:00-04:00,34.515,34.54,34.515,34.54,289.0
