time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,9.27,9.28,9.15,9.23,370721.0
2023-11-07T16:00:00-05:00,9.22,9.25,9.1,9.14,369929.0
2023-11-08T16:00:00-05:00,9.42,9.52,9.145,9.22,482524.0
2023-11-09T16:00:00-05:00,9.25,9.25,9.01,9.065,988946.0
2023-11-10T16:00:00-05:00,9.15,9.23,9.06,9.215,304115.0
2023-11-13T16:00:00-05:00,9.13,9.14,8.955,8.955,192026.0
2023-11-14T16:00:00-05:00,9.09,9.285,9.08,9.21,239705.0
2023-11-15T16:00:00-05:00,9.215,9.41,9.215,9.36,241373.0
2023-11-16T16:00:00-05:00,9.445,9.445,9.1,9.19,162327.0
2023-11-17T16:00:00-05:00,9.305,9.45,9.18,9.45,722736.0
2023-11-20T16:00:00-05:00,9.41,9.485,9.325,9.48,694386.0
2023-11-21T16:00:00-05:00,9.48,9.48,9.33,9.405,1424286.0
2023-11-22T16:00:00-05:00,9.36,9.42,9.29,9.365,168235.0
2023-11-24T16:00:00-05:00,9.38,9.445,9.325,9.425,72204.0
2023-11-27T16:00:00-05:00,9.38,9.405,9.295,9.33,187741.0
2023-11-28T16:00:00-05:00,9.22,9.25,9.115,9.135,217398.0
2023-11-29T16:00:00-05:00,9.12,9.18,9.085,9.125,262206.0
2023-11-30T16:00:00-05:00,9.13,9.225,9.09,9.195,154249.0
2023-12-01T16:00:00-05:00,9.14,9.39,9.1,9.355,204280.0
2023-12-04T16:00:00-05:00,9.34,9.755,9.305,9.685,430798.0
2023-12-05T16:00:00-05:00,9.62,9.65,9.53,9.62,345781.0
2023-12-06T16:00:00-05:00,9.685,9.785,9.63,9.695,318731.0
2023-12-07T16:00:00-05:00,9.74,9.79,9.565,9.755,232317.0
2023-12-08T16:00:00-05:00,9.765,9.915,9.745,9.82,296736.0
2023-12-11T16:00:00-05:00,9.83,9.89,9.775,9.83,328525.0
2023-12-12T16:00:00-05:00,9.85,9.875,9.75,9.865,197075.0
2023-12-13T16:00:00-05:00,9.845,10.185,9.82,10.15,215872.0
2023-12-14T16:00:00-05:00,10.245,10.555,10.245,10.41,416003.0
2023-12-15T16:00:00-05:00,10.31,10.4,10.155,10.27,445260.0
2023-12-18T16:00:00-05:00,10.3,10.305,10.09,10.11,226433.0
2023-12-19T16:00:00-05:00,10.135,10.42,10.115,10.4,261172.0
2023-12-20T16:00:00-05:00,10.43,10.63,10.425,10.45,322702.0
2023-12-21T16:00:00-05:00,10.48,10.73,10.48,10.64,250907.0
2023-12-22T16:00:00-05:00,10.72,10.775,10.605,10.65,142457.0
2023-12-26T16:00:00-05:00,10.65,10.74,10.63,10.705,205936.0
2023-12-27T16:00:00-05:00,10.695,10.79,10.685,10.77,134953.0
2023-12-28T16:00:00-05:00,10.74,10.87,10.74,10.87,190821.0
2023-12-29T16:00:00-05:00,10.825,10.86,10.745,10.86,256034.0
2024-01-02T16:00:00-05:00,10.82,11.41,10.82,11.41,527632.0
2024-01-03T16:00:00-05:00,11.42,11.475,11.31,11.37,483022.0
2024-01-04T16:00:00-05:00,11.35,11.615,11.315,11.56,394721.0
2024-01-05T16:00:00-05:00,11.555,12.075,11.52,12.0,422244.0
2024-01-08T16:00:00-05:00,11.92,11.96,11.66,11.715,394644.0
2024-01-09T16:00:00-05:00,11.58,11.755,11.565,11.595,197819.0
2024-01-10T16:00:00-05:00,11.585,12.47,11.495,12.115,1121413.0
2024-01-11T16:00:00-05:00,12.0,12.395,11.9,12.095,1122989.0
2024-01-12T16:00:00-05:00,12.115,12.14,11.67,11.68,362300.0
