time,open,high,low,close,volume
2024-09-03T09:45:00-04:00,7.44,7.44,7.44,7.44,300.0
2024-09-03T09:55:00-04:00,7.44,7.445,7.44,7.445,305.0
2024-09-03T10:00:00-04:00,7.45,7.45,7.45,7.45,100.0
2024-09-03T10:05:00-04:00,7.435,7.435,7.435,7.435,200.0
2024-09-03T10:10:00-04:00,7.43,7.43,7.43,7.43,201.0
2024-09-03T10:35:00-04:00,7.41,7.41,7.41,7.41,200.0
2024-09-03T10:55:00-04:00,7.335,7.345,7.335,7.345,300.0
2024-09-03T11:30:00-04:00,7.36,7.36,7.34,7.34,521.0
2024-09-03T11:35:00-04:00,7.34,7.34,7.34,7.34,300.0
2024-09-03T11:40:00-04:00,7.34,7.34,7.34,7.34,324.0
2024-09-03T11:45:00-04:00,7.33,7.33,7.33,7.33,100.0
2024-09-03T11:50:00-04:00,7.33,7.33,7.33,7.33,100.0
2024-09-03T11:55:00-04:00,7.33,7.335,7.33,7.335,600.0
2024-09-03T12:10:00-04:00,7.36,7.36,7.36,7.36,199.0
2024-09-03T12:15:00-04:00,7.37,7.37,7.37,7.37,200.0
2024-09-03T12:25:00-04:00,7.375,7.375,7.375,7.375,300.0
2024-09-03T12:55:00-04:00,7.355,7.355,7.355,7.355,149.0
2024-09-03T13:15:00-04:00,7.35,7.355,7.35,7.355,424.0
2024-09-03T13:20:00-04:00,7.35,7.36,7.35,7.36,345.0
2024-09-03T13:30:00-04:00,7.35,7.35,7.345,7.345,205.0
2024-09-03T13:35:00-04:00,7.36,7.36,7.36,7.36,100.0
2024-09-03T13:55:00-04:00,7.35,7.35,7.35,7.35,300.0
2024-09-03T14:00:00-04:00,7.335,7.335,7.335,7.335,100.0
2024-09-03T14:05:00-04:00,7.34,7.34,7.34,7.34,100.0
2024-09-03T14:10:00-04:00,7.34,7.34,7.34,7.34,210.0
2024-09-03T14:15:00-04:00,7.34,7.34,7.34,7.34,276.0
2024-09-03T15:10:00-04:00,7.32,7.33,7.32,7.33,410.0
2024-09-03T15:25:00-04:00,7.33,7.335,7.33,7.335,558.0
2024-09-03T15:30:00-04:00,7.34,7.34,7.34,7.34,152.0
2024-09-03T15:40:00-04:00,7.335,7.345,7.335,7.345,200.0
2024-09-03T15:45:00-04:00,7.34,7.34,7.34,7.34,100.0
2024-09-03T15:50:00-04:00,7.355,7.365,7.35,7.35,779.0
2024-09-03T15:55:00-04:00,7.35,7.36,7.335,7.35,4603.0
2024-09-04T09:30:00-04:00,7.38,7.42,7.38,7.42,300.0
2024-09-04T09:35:00-04:00,7.44,7.44,7.43,7.43,200.0
2024-09-04T09:45:00-04:00,7.42,7.42,7.42,7.42,100.0
2024-09-04T09:50:00-04:00,7.43,7.43,7.43,7.43,489.0
2024-09-04T09:55:00-04:00,7.41,7.41,7.41,7.41,100.0
2024-09-04T10:00:00-04:00,7.365,7.365,7.365,7.365,100.0
2024-09-04T10:05:00-04:00,7.36,7.36,7.36,7.36,100.0
2024-09-04T10:10:00-04:00,7.345,7.35,7.345,7.35,400.0
2024-09-04T10:15:00-04:00,7.345,7.345,7.32,7.32,1627.0
2024-09-04T10:20:00-04:00,7.33,7.34,7.33,7.34,907.0
2024-09-04T10:25:00-04:00,7.345,7.345,7.345,7.345,635.0
2024-09-04T10:30:00-04:00,7.34,7.34,7.34,7.34,100.0
2024-09-04T10:45:00-04:00,7.355,7.36,7.355,7.36,200.0
2024-09-04T10:50:00-04:00,7.35,7.35,7.35,7.35,663.0
2024-09-04T11:00:00-04:00,7.34,7.34,7.34,7.34,200.0
2024-09-04T11:05:00-04:00,7.325,7.325,7.325,7.325,100.0
2024-09-04T11:10:00-04:00,7.325,7.325,7.325,7.325,400.0
2024-09-04T11:15:00-04:00,7.325,7.345,7.325,7.345,1705.0
2024-09-04T11:25:00-04:00,7.34,7.34,7.335,7.335,1239.0
2024-09-04T11:30:00-04:00,7.32,7.32,7.32,7.32,100.0
2024-09-04T11:40:00-04:00,7.335,7.345,7.335,7.345,200.0
2024-09-04T11:45:00-04:00,7.36,7.365,7.36,7.365,570.0
2024-09-04T12:00:00-04:00,7.38,7.38,7.38,7.38,100.0
2024-09-04T12:05:00-04:00,7.365,7.365,7.365,7.365,220.0
2024-09-04T12:15:00-04:00,7.385,7.385,7.385,7.385,100.0
2024-09-04T12:20:00-04:00,7.37,7.37,7.37,7.37,100.0
2024-09-04T12:25:00-04:00,7.37,7.375,7.37,7.375,200.0
2024-09-04T12:45:00-04:00,7.375,7.375,7.365,7.365,611.0
2024-09-04T12:50:00-04:00,7.355,7.36,7.355,7.36,300.0
2024-09-04T13:00:00-04:00,7.365,7.365,7.365,7.365,190.0
2024-09-04T13:20:00-04:00,7.355,7.355,7.355,7.355,106.0
2024-09-04T13:25:00-04:00,7.35,7.36,7.35,7.355,694.0
2024-09-04T13:30:00-04:00,7.35,7.35,7.35,7.35,300.0
2024-09-04T13:35:00-04:00,7.345,7.345,7.34,7.34,870.0
2024-09-04T13:40:00-04:00,7.34,7.34,7.34,7.34,100.0
2024-09-04T13:45:00-04:00,7.34,7.345,7.34,7.345,300.0
2024-09-04T13:50:00-04:00,7.34,7.34,7.335,7.335,419.0
2024-09-04T14:00:00-04:00,7.33,7.33,7.33,7.33,100.0
2024-09-04T14:10:00-04:00,7.33,7.33,7.33,7.33,100.0
2024-09-04T14:15:00-04:00,7.335,7.335,7.335,7.335,400.0
2024-09-04T14:20:00-04:00,7.33,7.33,7.33,7.33,407.0
2024-09-04T14:25:00-04:00,7.335,7.345,7.335,7.345,1475.0
2024-09-04T14:30:00-04:00,7.345,7.345,7.345,7.345,100.0
2024-09-04T14:35:00-04:00,7.355,7.355,7.345,7.345,200.0
2024-09-04T14:40:00-04:00,7.335,7.335,7.335,7.335,100.0
2024-09-04T14:55:00-04:00,7.33,7.335,7.33,7.335,204.0
2024-09-04T15:00:00-04:00,7.335,7.335,7.335,7.335,100.0
2024-09-04T15:10:00-04:00,7.335,7.335,7.33,7.33,222.0
2024-09-04T15:15:00-04:00,7.335,7.335,7.33,7.33,298.0
2024-09-04T15:20:00-04:00,7.34,7.34,7.34,7.34,206.0
2024-09-04T15:30:00-04:00,7.345,7.345,7.345,7.345,100.0
2024-09-04T15:35:00-04:00,7.34,7.34,7.335,7.335,519.0
2024-09-04T15:45:00-04:00,7.335,7.335,7.335,7.335,200.0
2024-09-04T15:50:00-04:00,7.335,7.34,7.32,7.32,2175.0
2024-09-04T15:55:00-04:00,7.325,7.325,7.295,7.3,3536.0
2024-09-05T09:35:00-04:00,7.34,7.34,7.34,7.34,187.0
2024-09-05T09:40:00-04:00,7.43,7.43,7.43,7.43,103.0
2024-09-05T09:50:00-04:00,7.395,7.395,7.395,7.395,274.0
2024-09-05T10:05:00-04:00,7.455,7.475,7.455,7.475,534.0
2024-09-05T10:10:00-04:00,7.47,7.49,7.47,7.49,465.0
2024-09-05T10:15:00-04:00,7.52,7.52,7.52,7.52,102.0
2024-09-05T10:20:00-04:00,7.57,7.57,7.55,7.55,1310.0
2024-09-05T10:25:00-04:00,7.56,7.56,7.545,7.545,1295.0
2024-09-05T10:30:00-04:00,7.55,7.55,7.45,7.45,412.0
2024-09-05T10:35:00-04:00,7.485,7.495,7.485,7.495,200.0
2024-09-05T10:40:00-04:00,7.48,7.48,7.48,7.48,100.0
2024-09-05T10:45:00-04:00,7.48,7.485,7.48,7.48,302.0
2024-09-05T10:50:00-04:00,7.485,7.485,7.485,7.485,100.0
2024-09-05T10:55:00-04:00,7.485,7.485,7.485,7.485,244.0
2024-09-05T11:05:00-04:00,7.5,7.5,7.5,7.5,125.0
2024-09-05T11:20:00-04:00,7.53,7.53,7.53,7.53,400.0
2024-09-05T11:25:00-04:00,7.525,7.525,7.515,7.515,500.0
2024-09-05T11:35:00-04:00,7.51,7.51,7.51,7.51,279.0
2024-09-05T11:40:00-04:00,7.49,7.505,7.485,7.505,605.0
2024-09-05T11:45:00-04:00,7.51,7.51,7.51,7.51,300.0
2024-09-05T11:50:00-04:00,7.51,7.51,7.51,7.51,100.0
2024-09-05T11:55:00-04:00,7.5,7.5,7.465,7.465,300.0
2024-09-05T12:10:00-04:00,7.47,7.47,7.47,7.47,100.0
2024-09-05T12:30:00-04:00,7.48,7.48,7.46,7.46,389.0
2024-09-05T12:45:00-04:00,7.445,7.445,7.445,7.445,100.0
2024-09-05T12:50:00-04:00,7.43,7.43,7.43,7.43,300.0
2024-09-05T13:10:00-04:00,7.455,7.455,7.455,7.455,100.0
2024-09-05T13:20:00-04:00,7.445,7.45,7.435,7.45,300.0
2024-09-05T13:25:00-04:00,7.45,7.45,7.45,7.45,100.0
2024-09-05T13:30:00-04:00,7.45,7.45,7.44,7.44,295.0
2024-09-05T13:40:00-04:00,7.45,7.45,7.45,7.45,100.0
2024-09-05T13:55:00-04:00,7.455,7.455,7.455,7.455,100.0
2024-09-05T14:10:00-04:00,7.45,7.45,7.44,7.44,535.0
2024-09-05T14:40:00-04:00,7.42,7.42,7.42,7.42,100.0
2024-09-05T14:50:00-04:00,7.425,7.425,7.425,7.425,100.0
2024-09-05T15:00:00-04:00,7.41,7.41,7.41,7.41,300.0
2024-09-05T15:10:00-04:00,7.4,7.4,7.4,7.4,115.0
2024-09-05T15:15:00-04:00,7.4,7.4,7.4,7.4,200.0
2024-09-05T15:20:00-04:00,7.4,7.4,7.4,7.4,111.0
2024-09-05T15:30:00-04:00,7.405,7.405,7.405,7.405,103.0
2024-09-05T15:35:00-04:00,7.405,7.405,7.405,7.405,258.0
2024-09-05T15:40:00-04:00,7.4,7.405,7.4,7.405,628.0
2024-09-05T15:45:00-04:00,7.39,7.39,7.385,7.385,335.0
2024-09-05T15:50:00-04:00,7.38,7.385,7.38,7.385,453.0
2024-09-05T15:55:00-04:00,7.395,7.405,7.38,7.38,6623.0
2024-09-06T09:30:00-04:00,7.33,7.35,7.33,7.35,300.0
2024-09-06T09:35:00-04:00,7.35,7.35,7.32,7.33,2325.0
2024-09-06T09:40:00-04:00,7.35,7.35,7.35,7.35,125.0
2024-09-06T09:45:00-04:00,7.35,7.35,7.34,7.34,2000.0
2024-09-06T09:50:00-04:00,7.31,7.33,7.31,7.33,1220.0
2024-09-06T09:55:00-04:00,7.34,7.34,7.335,7.335,425.0
2024-09-06T10:00:00-04:00,7.31,7.33,7.31,7.33,1257.0
2024-09-06T10:05:00-04:00,7.34,7.345,7.34,7.34,674.0
2024-09-06T10:10:00-04:00,7.345,7.345,7.34,7.345,857.0
2024-09-06T10:15:00-04:00,7.355,7.355,7.355,7.355,100.0
2024-09-06T10:20:00-04:00,7.375,7.385,7.375,7.38,1550.0
