time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,4.605,4.61,4.57,4.6,23614.0
2023-11-07T16:00:00-05:00,4.575,4.605,4.565,4.575,71344.0
2023-11-08T16:00:00-05:00,4.57,4.58,4.56,4.57,31576.0
2023-11-09T16:00:00-05:00,4.55,4.59,4.495,4.505,101632.0
2023-11-10T16:00:00-05:00,4.505,4.55,4.5,4.55,61603.0
2023-11-13T16:00:00-05:00,4.53,4.535,4.5,4.51,19014.0
2023-11-14T16:00:00-05:00,4.56,4.62,4.56,4.605,47601.0
2023-11-15T16:00:00-05:00,4.64,4.69,4.64,4.685,97036.0
2023-11-16T16:00:00-05:00,4.725,4.735,4.67,4.685,90202.0
2023-11-17T16:00:00-05:00,4.695,4.71,4.695,4.71,15647.0
2023-11-20T16:00:00-05:00,4.735,4.75,4.695,4.745,21647.0
2023-11-21T16:00:00-05:00,4.755,4.76,4.735,4.745,46899.0
2023-11-22T16:00:00-05:00,4.76,4.775,4.74,4.745,34085.0
2023-11-24T16:00:00-05:00,4.695,4.7,4.675,4.69,44247.0
2023-11-27T16:00:00-05:00,4.7,4.715,4.68,4.69,32056.0
2023-11-28T16:00:00-05:00,4.7,4.72,4.69,4.71,62271.0
2023-11-29T16:00:00-05:00,4.825,4.835,4.78,4.795,42500.0
2023-11-30T16:00:00-05:00,4.865,4.865,4.83,4.845,70750.0
2023-12-01T16:00:00-05:00,4.815,4.885,4.815,4.875,17799.0
2023-12-04T16:00:00-05:00,4.825,4.835,4.82,4.825,65620.0
2023-12-05T16:00:00-05:00,4.81,4.815,4.785,4.795,23494.0
2023-12-06T16:00:00-05:00,4.97,4.99,4.955,4.97,30555.0
2023-12-07T16:00:00-05:00,4.96,4.985,4.95,4.985,53425.0
2023-12-08T16:00:00-05:00,5.01,5.045,5.0,5.02,64499.0
2023-12-11T16:00:00-05:00,4.975,4.975,4.91,4.96,85362.0
2023-12-12T16:00:00-05:00,4.98,4.995,4.96,4.995,42393.0
2023-12-13T16:00:00-05:00,4.99,5.055,4.965,5.055,48979.0
2023-12-14T16:00:00-05:00,5.1,5.21,5.1,5.195,26536.0
2023-12-15T16:00:00-05:00,5.26,5.29,5.245,5.275,63510.0
2023-12-18T16:00:00-05:00,5.27,5.315,5.27,5.31,17977.0
2023-12-19T16:00:00-05:00,5.26,5.29,5.26,5.265,21952.0
2023-12-20T16:00:00-05:00,5.195,5.235,5.15,5.15,40475.0
2023-12-21T16:00:00-05:00,5.195,5.195,5.14,5.19,69566.0
2023-12-22T16:00:00-05:00,5.47,5.48,5.395,5.43,167674.0
