time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,8.24,8.63,8.09,8.41,124786.0
2024-11-05T16:00:00-05:00,8.405,8.58,8.24,8.47,78304.0
2024-11-06T16:00:00-05:00,8.85,9.07,8.66,8.99,115631.0
2024-11-07T16:00:00-05:00,8.95,9.065,8.815,8.9,56265.0
2024-11-08T16:00:00-05:00,8.86,8.935,8.685,8.9,61217.0
2024-11-11T16:00:00-05:00,8.89,9.16,8.825,8.95,101745.0
2024-11-12T16:00:00-05:00,8.86,8.99,8.645,8.67,59079.0
2024-11-13T16:00:00-05:00,8.69,8.715,8.205,8.27,109011.0
2024-11-14T16:00:00-05:00,8.33,8.41,8.25,8.4,70167.0
2024-11-15T16:00:00-05:00,8.47,8.535,8.38,8.42,49757.0
2024-11-18T16:00:00-05:00,8.47,8.505,8.285,8.32,53678.0
2024-11-19T16:00:00-05:00,8.3,8.46,8.19,8.42,39072.0
2024-11-20T16:00:00-05:00,8.435,8.5,8.265,8.39,43872.0
2024-11-21T16:00:00-05:00,8.38,8.815,8.29,8.74,69055.0
2024-11-22T16:00:00-05:00,8.82,9.225,8.82,9.03,74621.0
2024-11-25T16:00:00-05:00,9.215,9.45,9.12,9.155,80165.0
2024-11-26T16:00:00-05:00,9.13,9.165,8.795,9.08,38316.0
2024-11-27T16:00:00-05:00,9.2,9.2,9.01,9.08,52121.0
2024-11-29T16:00:00-05:00,9.23,9.36,9.13,9.15,41534.0
2024-12-02T16:00:00-05:00,9.11,9.365,9.08,9.34,66761.0
2024-12-03T16:00:00-05:00,9.03,9.07,8.7,8.87,68019.0
2024-12-04T16:00:00-05:00,8.77,9.015,8.77,8.78,51466.0
2024-12-05T16:00:00-05:00,8.71,8.845,8.54,8.715,78586.0
2024-12-06T16:00:00-05:00,8.81,8.93,8.565,8.59,50539.0
2024-12-09T16:00:00-05:00,8.695,8.97,8.685,8.88,75899.0
2024-12-10T16:00:00-05:00,8.865,8.99,8.61,8.93,61756.0
2024-12-11T16:00:00-05:00,8.98,9.07,8.815,8.84,45533.0
2024-12-12T16:00:00-05:00,8.815,8.815,8.615,8.685,76337.0
2024-12-13T16:00:00-05:00,8.73,8.795,8.54,8.78,55298.0
2024-12-16T16:00:00-05:00,8.7,8.85,8.665,8.76,67050.0
2024-12-17T16:00:00-05:00,8.65,8.86,8.475,8.6,72572.0
2024-12-18T16:00:00-05:00,8.73,8.765,8.34,8.36,101689.0
2024-12-19T16:00:00-05:00,8.525,8.6,8.335,8.52,91857.0
2024-12-20T16:00:00-05:00,8.43,8.695,8.345,8.385,91924.0
2024-12-23T16:00:00-05:00,8.99,9.33,8.65,8.65,97831.0
2024-12-24T16:00:00-05:00,9.39,9.42,9.165,9.22,82808.0
2024-12-26T16:00:00-05:00,9.205,9.54,9.11,9.17,72355.0
2024-12-27T16:00:00-05:00,9.135,9.375,9.09,9.14,51634.0
2024-12-30T16:00:00-05:00,9.01,9.035,8.625,8.91,88644.0
2024-12-31T16:00:00-05:00,8.7,8.865,8.405,8.43,56553.0
2025-01-02T16:00:00-05:00,8.7,8.76,8.25,8.265,66011.0
2025-01-03T16:00:00-05:00,8.255,8.34,8.155,8.27,70895.0
2025-01-06T16:00:00-05:00,8.32,8.64,8.315,8.42,107174.0
2025-01-07T16:00:00-05:00,8.54,9.095,8.54,8.845,147141.0
2025-01-08T16:00:00-05:00,8.7,8.95,8.49,8.915,109976.0
2025-01-10T16:00:00-05:00,8.765,9.385,8.71,9.035,115506.0
2025-01-13T16:00:00-05:00,8.99,9.02,8.705,8.75,68030.0
2025-01-14T16:00:00-05:00,8.96,9.09,8.69,8.72,61441.0
2025-01-15T16:00:00-05:00,9.05,9.175,8.945,9.14,115846.0
2025-01-16T16:00:00-05:00,9.055,9.08,8.83,9.0,62733.0
2025-01-17T16:00:00-05:00,9.23,9.385,9.15,9.32,119296.0
2025-01-21T16:00:00-05:00,9.375,9.61,9.27,9.48,120267.0
2025-01-22T16:00:00-05:00,9.43,9.55,9.335,9.37,81249.0
2025-01-23T16:00:00-05:00,9.165,9.87,9.165,9.85,64131.0
2025-01-24T16:00:00-05:00,9.85,9.88,9.6,9.665,80050.0
2025-01-27T16:00:00-05:00,9.655,9.83,9.535,9.71,85159.0
2025-01-28T16:00:00-05:00,9.4,9.4,8.43,9.15,174819.0
2025-01-29T16:00:00-05:00,9.0,9.0,8.4,8.615,158398.0
2025-01-30T16:00:00-05:00,8.7,8.905,8.55,8.67,118060.0
2025-01-31T16:00:00-05:00,8.74,8.86,8.42,8.52,84688.0
2025-02-03T16:00:00-05:00,8.26,8.59,8.25,8.28,71909.0
2025-02-04T16:00:00-05:00,8.3,8.48,8.23,8.35,72797.0
