time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,36.715,37.635,36.715,37.17,33045.0
2024-11-05T16:00:00-05:00,37.6,38.795,37.6,38.48,64654.0
2024-11-06T16:00:00-05:00,40.4,40.64,39.445,39.93,102331.0
2024-11-07T16:00:00-05:00,39.515,39.63,38.85,39.19,68412.0
2024-11-08T16:00:00-05:00,39.31,39.51,39.09,39.18,58010.0
2024-11-11T16:00:00-05:00,39.31,39.92,39.3,39.83,50792.0
2024-11-12T16:00:00-05:00,40.15,40.155,39.315,39.37,38175.0
2024-11-13T16:00:00-05:00,39.64,40.12,39.35,39.41,82197.0
2024-11-14T16:00:00-05:00,39.19,39.4,38.81,38.9,22358.0
2024-11-15T16:00:00-05:00,38.88,38.96,38.51,38.915,25256.0
2024-11-18T16:00:00-05:00,38.915,39.36,38.745,39.18,30495.0
2024-11-19T16:00:00-05:00,38.73,39.1,38.715,39.02,25277.0
2024-11-20T16:00:00-05:00,39.015,39.015,38.64,38.81,20793.0
2024-11-21T16:00:00-05:00,38.9,39.56,38.9,39.35,20907.0
2024-11-22T16:00:00-05:00,39.625,40.03,39.57,39.97,36864.0
2024-11-25T16:00:00-05:00,40.27,40.5,40.09,40.275,32386.0
2024-11-26T16:00:00-05:00,39.78,39.905,39.32,39.76,57724.0
2024-11-27T16:00:00-05:00,40.045,40.045,39.62,39.73,26940.0
2024-11-29T16:00:00-05:00,39.82,40.02,39.76,39.885,23478.0
2024-12-02T16:00:00-05:00,39.9,40.4,39.705,40.3,34702.0
2024-12-03T16:00:00-05:00,40.19,40.395,39.84,40.33,24946.0
2024-12-04T16:00:00-05:00,40.34,40.835,40.21,40.79,37346.0
2024-12-05T16:00:00-05:00,40.74,40.74,39.9,40.075,23822.0
2024-12-06T16:00:00-05:00,40.435,40.57,40.13,40.41,32154.0
2024-12-09T16:00:00-05:00,40.49,40.975,40.18,40.92,45051.0
2024-12-10T16:00:00-05:00,40.77,41.13,40.295,40.66,29231.0
2024-12-11T16:00:00-05:00,40.785,40.945,40.29,40.34,23578.0
2024-12-12T16:00:00-05:00,40.31,40.33,39.98,40.0,31229.0
2024-12-13T16:00:00-05:00,39.97,40.02,39.67,39.75,26643.0
2024-12-16T16:00:00-05:00,39.695,39.76,39.39,39.58,57698.0
2024-12-17T16:00:00-05:00,39.31,39.42,38.98,38.98,46234.0
2024-12-18T16:00:00-05:00,39.045,39.095,37.21,37.27,59517.0
2024-12-19T16:00:00-05:00,37.495,37.65,36.96,37.16,65030.0
2024-12-20T16:00:00-05:00,37.25,38.03,37.24,37.49,53216.0
2024-12-23T16:00:00-05:00,37.24,37.305,37.09,37.09,4707.0
2024-12-24T16:00:00-05:00,37.535,37.815,37.47,37.76,17376.0
2024-12-26T16:00:00-05:00,37.5,38.06,37.45,38.03,26526.0
2024-12-27T16:00:00-05:00,37.7,37.95,37.32,37.69,28300.0
2024-12-30T16:00:00-05:00,37.27,37.61,37.08,37.47,21561.0
2024-12-31T16:00:00-05:00,37.36,37.74,37.14,37.3,41452.0
2025-01-02T16:00:00-05:00,37.34,37.59,36.77,36.9,33282.0
2025-01-03T16:00:00-05:00,36.8,37.22,36.51,37.05,39139.0
2025-01-06T16:00:00-05:00,37.07,37.63,36.66,36.91,37753.0
2025-01-07T16:00:00-05:00,36.975,36.975,36.07,36.27,50440.0
2025-01-08T16:00:00-05:00,35.965,36.99,35.945,36.96,46325.0
2025-01-10T16:00:00-05:00,36.125,36.44,35.93,36.19,44057.0
2025-01-13T16:00:00-05:00,35.875,36.725,35.875,36.69,31528.0
2025-01-14T16:00:00-05:00,37.01,37.485,37.005,37.32,38899.0
2025-01-15T16:00:00-05:00,37.785,37.93,37.2,37.49,48488.0
2025-01-16T16:00:00-05:00,37.58,38.18,37.48,37.83,36309.0
2025-01-17T16:00:00-05:00,38.24,38.34,37.915,38.13,50624.0
2025-01-21T16:00:00-05:00,38.73,39.06,38.73,38.85,31415.0
2025-01-22T16:00:00-05:00,38.68,39.05,38.67,38.875,61613.0
2025-01-23T16:00:00-05:00,38.735,39.2,38.69,39.15,19827.0
2025-01-24T16:00:00-05:00,39.11,39.11,38.54,38.78,21745.0
2025-01-27T16:00:00-05:00,38.52,38.98,38.52,38.91,19536.0
2025-01-28T16:00:00-05:00,38.795,39.425,38.7,39.36,53058.0
2025-01-29T16:00:00-05:00,39.25,39.78,38.96,38.97,44328.0
2025-01-30T16:00:00-05:00,39.335,39.75,39.1,39.3,35637.0
2025-01-31T16:00:00-05:00,39.08,39.665,39.045,39.42,37015.0
2025-02-03T16:00:00-05:00,38.505,39.21,38.36,39.16,75669.0
2025-02-04T16:00:00-05:00,39.075,39.69,38.97,39.565,81617.0
2025-02-05T16:00:00-05:00,38.94,38.94,37.225,38.1,93299.0
2025-02-06T16:00:00-05:00,38.085,38.3,37.82,38.3,57642.0
2025-02-07T16:00:00-05:00,38.27,38.635,37.97,38.215,39508.0
2025-02-10T16:00:00-05:00,38.09,38.14,37.8,38.0,29942.0
2025-02-11T16:00:00-05:00,37.835,37.9,36.67,36.87,38599.0
2025-02-12T16:00:00-05:00,35.77,36.215,35.68,35.925,184559.0
2025-02-13T16:00:00-05:00,36.0,36.025,35.63,35.96,86352.0
2025-02-14T16:00:00-05:00,35.77,36.0,35.29,35.46,71594.0
2025-02-18T16:00:00-05:00,35.615,36.03,35.535,35.78,73152.0
2025-02-19T16:00:00-05:00,35.585,35.81,35.275,35.66,40395.0
2025-02-20T16:00:00-05:00,35.52,35.575,35.01,35.34,25099.0
2025-02-21T16:00:00-05:00,35.4,35.425,34.77,34.88,35667.0
2025-02-24T16:00:00-05:00,34.765,35.055,34.76,34.85,41777.0
2025-02-25T16:00:00-05:00,35.22,35.68,35.06,35.3,40154.0
2025-02-26T16:00:00-05:00,35.18,35.455,35.04,35.19,33646.0
2025-02-27T16:00:00-05:00,35.225,35.61,35.025,35.05,38061.0
2025-02-28T16:00:00-05:00,35.105,35.43,34.83,35.425,74636.0
2025-03-03T16:00:00-05:00,35.69,35.75,34.77,34.925,51898.0
2025-03-04T16:00:00-05:00,34.6,34.62,33.82,33.825,56133.0
2025-03-05T16:00:00-05:00,34.25,34.47,33.92,34.3,26258.0
2025-03-06T16:00:00-05:00,34.2,34.81,34.08,34.56,45478.0
2025-03-07T16:00:00-05:00,34.48,35.455,34.3,35.39,31641.0
2025-03-10T16:00:00-04:00,35.0,35.435,34.21,34.36,64991.0
2025-03-11T16:00:00-04:00,34.355,34.355,33.1,33.15,54415.0
2025-03-12T16:00:00-04:00,33.425,33.425,32.48,32.79,59767.0
2025-03-13T16:00:00-04:00,32.665,32.8,32.37,32.37,24718.0
2025-03-14T16:00:00-04:00,32.53,33.235,32.43,33.14,35140.0
2025-03-17T16:00:00-04:00,33.07,33.63,33.07,33.47,29190.0
2025-03-18T16:00:00-04:00,33.46,33.53,33.22,33.39,36365.0
2025-03-19T16:00:00-04:00,33.555,34.24,33.54,33.97,43813.0
2025-03-20T16:00:00-04:00,33.495,33.85,33.35,33.63,37963.0
2025-03-21T16:00:00-04:00,33.19,33.445,32.925,33.445,52190.0
2025-03-24T16:00:00-04:00,34.135,34.39,33.93,34.38,18506.0
2025-03-25T16:00:00-04:00,34.345,34.475,33.995,34.24,33241.0
2025-03-26T16:00:00-04:00,34.18,34.46,33.945,33.955,22568.0
2025-03-27T16:00:00-04:00,33.965,34.1,33.55,33.74,34010.0
2025-03-28T16:00:00-04:00,33.705,33.705,32.82,32.92,29520.0
2025-03-31T16:00:00-04:00,32.635,33.17,32.205,32.98,35978.0
2025-04-01T16:00:00-04:00,32.77,33.32,32.77,33.16,40806.0
2025-04-02T16:00:00-04:00,32.775,33.66,32.775,33.45,38298.0
2025-04-03T16:00:00-04:00,31.845,32.055,30.46,30.66,88345.0
2025-04-04T16:00:00-04:00,29.485,30.2,28.93,29.63,47049.0
2025-04-07T16:00:00-04:00,28.68,30.45,28.48,29.705,103504.0
2025-04-08T16:00:00-04:00,30.18,30.37,28.18,28.56,92146.0
2025-04-09T16:00:00-04:00,28.08,30.47,27.89,30.15,109852.0
2025-04-10T16:00:00-04:00,29.595,29.7,28.575,29.19,72063.0
2025-04-11T16:00:00-04:00,28.88,29.83,28.67,29.395,49502.0
2025-04-14T16:00:00-04:00,29.74,29.77,29.125,29.47,29786.0
2025-04-15T16:00:00-04:00,29.66,29.66,29.32,29.47,29501.0
2025-04-16T16:00:00-04:00,29.805,30.03,29.435,29.59,43554.0
2025-04-17T16:00:00-04:00,29.93,30.14,29.62,30.08,53852.0
2025-04-21T16:00:00-04:00,29.845,30.04,29.4,29.69,61981.0
2025-04-22T16:00:00-04:00,30.245,31.18,30.245,31.12,124539.0
2025-04-23T16:00:00-04:00,32.295,34.1,32.28,32.625,129445.0
2025-04-24T16:00:00-04:00,32.425,33.81,32.335,33.72,81500.0
